사용장소,주소,사용금액,lat,lng,거리
기장산곰장어포차,서울 영등포구 도림천로 369 기장산곰장어포차,108000,37.493488,127.0157303,5918.118451716019
기절초풍왕순대,서울 관악구 봉천로62길 2 기절초풍왕순대,119000,37.4781513,126.958333,600.8792008740803
김가네,서울 관악구 관악로 152 김가네,479500,37.4786593,126.9525782,112.27155686555292
김밥,서울 서초구 사임당로 21 김밥,1021000,37.4939308,127.0117274,5596.241585821166
김밥천국,서울 관악구 난곡로24길 2 김밥천국,270000,37.4697681,126.9202845,2908.116382947154
김밥천국,서울 관악구 봉천로 372 김밥천국,16500,37.4795728,126.9521689,174.00401992830237
김밥천국,서울 관악구 신림로 312 김밥천국,36000,37.4836355,126.929515,2037.4749298420772
김밥천국,서울 관악구 신림로 329 김밥천국,14500,37.4836355,126.929515,2037.4749298420772
김밥천국,서울 관악구 은천로 109 김밥천국,10000,37.4869021,126.9475351,1040.741152895542
김밥＆백반,서울 관악구 난곡로 234 김밥＆백반,32000,37.4751473,126.9170268,3061.774495098693
김용해순대국,서울 관악구 남부순환로208길 5 김용해순대국,293000,37.4817673,126.9435008,817.3488552555682
김채원24시감자탕,서울 관악구 보라매로 8 김채원24시감자탕,100000,37.49021219999999,126.927838,2486.6862812884888
깡돈,서울 관악구 당곡길 65 깡돈,46000,37.4916223,126.9274001,2606.4663157105865
꽃올림,서울 관악구 신림로58길 32 꽃올림,17300,37.4822988,126.9316721,1813.0626207424905
꿀벌식당,서울 관악구 쑥고개로 52 꿀벌식당,12000,37.47951219999999,126.9424028,820.1762627741261
나의집,서울 관악구 남부순환로145길 14 나의집,24000,37.4821276,126.9123118,3489.051770438855
나주곰탕,서울 관악구 관악로 167 나주곰탕,401500,37.4802714,126.9522176,249.73228076961982
나주곰탕,서울 관악구 남부순환로 1727-8 나주곰탕,80000,37.4827049,126.9423558,957.7876502705641
나주곰탕,서울 관악구 신림로28길 30 나주곰탕,429000,37.4723233,126.9352541,1572.6238524132987
나주곰탕,서울 관악구 신림로28길 34 나주곰탕,18000,37.4723233,126.9352541,1572.6238524132987
나주오리종가,서울 관악구 신원로 15 나주오리종가,457000,37.4807296,126.9276331,2128.43696277963
낙성푸줏간,서울 관악구 남부순환로 1850 낙성푸줏간,143000,37.479941,126.9552682,389.02518240396984
낙지마을해물구이,서울 관악구 봉천로 469-1 낙지마을해물구이,136000,37.4824335,126.9522522,486.7906364970354
낙지촌,서울 관악구 남현1길 58 낙지촌,70000,37.47563299999999,126.9805356,2574.692571457767
남궁야,서울 서초구 방배천로4길 15-2 남궁야,111000,37.4781568,126.9835826,2828.9500450265896
남도식당,서울 관악구 청룡2길 3 남도식당,117000,37.481177,126.9459106,602.3917232739501
