자치구,벚나무,LAT,LON
강남구,벚나무,37.5194442,127.0543071
강남구,벚나무,37.519425,127.0542237
강남구,벚나무,37.5209619,127.0599838
강남구,벚나무,37.4855748,127.0460077
강남구,벚나무,37.5136651,127.0668277
강남구,벚나무,37.4752891,127.1052382
강남구,벚나무,37.4841275,127.0469391
강남구,벚나무,37.483493,127.0442484
강남구,벚나무,37.4821062,127.0432536
강남구,벚나무,37.4737042,127.1010371
강남구,벚나무,37.4822947,127.0434367
강남구,벚나무,37.4913873,127.1027508
강남구,벚나무,37.4914043,127.1027234
강남구,벚나무,37.4732901,127.0986983
강남구,벚나무,37.4913803,127.1027633
강남구,벚나무,37.5124454,127.0670131
강남구,벚나무,37.5197086,127.0544324
강남구,벚나무,37.4833744,127.0444245
강남구,벚나무,37.4852324,127.0461274
강남구,벚나무,37.5215513,127.0610133
강남구,벚나무,37.521453,127.0607398
강남구,벚나무,37.5214872,127.0608618
강남구,벚나무,37.5214255,127.060637
강남구,벚나무,37.521409,127.0604276
강남구,벚나무,37.521352,127.0604622
강남구,벚나무,37.5213691,127.0602956
강남구,벚나무,37.5213063,127.0603468
강남구,벚나무,37.5212007,127.0600382
강남구,벚나무,37.5212668,127.0600073
강남구,벚나무,37.5212438,127.0601572
강남구,벚나무,37.5212281,127.0598905
강남구,벚나무,37.5211669,127.0599374
강남구,벚나무,37.5210941,127.0597286
강남구,벚나무,37.5211302,127.0596654
강남구,벚나무,37.5209852,127.0593644
강남구,벚나무,37.5209479,127.0592793
강남구,벚나무,37.5208775,127.0591011
강남구,벚나무,37.5209101,127.0592012
강남구,벚나무,37.5209991,127.059446
강남구,벚나무,37.5209408,127.0590798
강남구,벚나무,37.5210374,127.0593739
강남구,벚나무,37.4915897,127.1023517
강남구,벚나무,37.4833696,127.0441342
강남구,벚나무,37.4847148,127.0458426
강남구,벚나무,37.4915956,127.102339
강남구,벚나무,37.4852926,127.0462104
강남구,벚나무,37.4823949,127.0435198
강남구,벚나무,37.4826967,127.0437945
강남구,벚나무,37.4841251,127.0470731
강남구,벚나무,37.4738575,127.10123
강남구,벚나무,37.5086673,127.0676157
강남구,벚나무,37.5208329,127.058783
강남구,벚나무,37.520616,127.0583632
강남구,벚나무,37.5207669,127.0588204
강남구,벚나무,37.5208053,127.0587055
강남구,벚나무,37.4914551,127.1026322
강남구,벚나무,37.4851021,127.0463586
강남구,벚나무,37.4823253,127.0431666
강남구,벚나무,37.5210653,127.0594705
강남구,벚나무,37.5209612,127.0591798
강남구,벚나무,37.5208435,127.0590022
강남구,벚나무,37.5195135,127.0546934
강남구,벚나무,37.483917,127.0446372
강남구,벚나무,37.5207691,127.058636
강남구,벚나무,37.5207373,127.0585183
강남구,벚나무,37.5207097,127.0584034
강남구,벚나무,37.5206735,127.0583205
강남구,벚나무,37.5206437,127.058235
강남구,벚나무,37.5205991,127.0581387
강남구,벚나무,37.4741764,127.1028395
강남구,벚나무,37.5197668,127.0547977
강남구,벚나무,37.5197826,127.054883
강남구,벚나무,37.5194305,127.0528629
강남구,벚나무,37.5194126,127.0527943
강남구,벚나무,37.4851761,127.0461694
강남구,벚나무,37.5205544,127.0581681
강남구,벚나무,37.5193999,127.0527141
강남구,벚나무,37.5081329,127.0676981
강남구,벚나무,37.4846252,127.0467037
강남구,벚나무,37.4842292,127.0468623
강남구,벚나무,37.5047438,127.0672531
강남구,벚나무,37.4915464,127.1024495
강남구,벚나무,37.4821554,127.0432983
강남구,벚나무,37.4861837,127.0456232
강남구,벚나무,37.4830019,127.0437969
강남구,벚나무,37.4731775,127.0980489
강남구,벚나무,37.48451,127.0454193
강남구,벚나무,37.491496,127.1025611
강남구,벚나무,37.5216569,127.062013
강남구,벚나무,37.5210317,127.0601465
강남구,벚나무,37.5210861,127.0603289
강남구,벚나무,37.5212179,127.0606797
강남구,벚나무,37.5212788,127.0608621
강남구,벚나무,37.5213389,127.0610389
강남구,벚나무,37.5218108,127.0623937
강남구,벚나무,37.5207435,127.0593594
강남구,벚나무,37.5208084,127.0595979
강남구,벚나무,37.5206768,127.059195
강남구,벚나무,37.5205338,127.0587957
강남구,벚나무,37.5206308,127.0590396
강남구,벚나무,37.5205878,127.0589269
강남구,벚나무,37.5213953,127.061226
강남구,벚나무,37.521462,127.0614195
강남구,벚나무,37.5131748,127.0668895
강남구,벚나무,37.5140246,127.0667781
강남구,벚나무,37.513793,127.0668101
강남구,벚나무,37.4857485,127.0457465
강남구,벚나무,37.4895602,127.1052292
강남구,벚나무,37.5193138,127.0535659
강남구,벚나무,37.519298,127.0534894
강남구,벚나무,37.519284,127.0534129
강남구,벚나무,37.5141143,127.0667657
강남구,벚나무,37.4848216,127.0465626
강남구,벚나무,37.4734107,127.100425
강남구,벚나무,37.4894754,127.1052992
강남구,벚나무,37.4848487,127.046149
강남구,벚나무,37.4739704,127.1018923
강남구,벚나무,37.4825443,127.0433774
강남구,벚나무,37.5077546,127.0677541
강남구,벚나무,37.4838746,127.0446011
강남구,벚나무,37.4845974,127.0467274
강남구,벚나무,37.4895288,127.1052557
강남구,벚나무,37.5134589,127.066855
강남구,벚나무,37.5128589,127.0669278
강남구,벚나무,37.5197244,127.0545247
강남구,벚나무,37.4831104,127.0438948
강남구,벚나무,37.4837321,127.0444651
강남구,벚나무,37.4861136,127.0454435
강남구,벚나무,37.491476,127.1025973
강남구,벚나무,37.5140246,127.0667781
강남구,벚나무,37.491467,127.1026098
강남구,벚나무,37.508049,127.0677111
강남구,벚나무,37.4834626,127.0445052
강남구,벚나무,37.4835159,127.0475166
강남구,벚나무,37.4913534,127.102817
강남구,벚나무,37.4746232,127.1034437
강남구,벚나무,37.4895916,127.1052026
강남구,벚나무,37.4842291,127.0469961
강남구,벚나무,37.4832391,127.0440109
강남구,벚나무,37.4837779,127.0445097
강남구,벚나무,37.4849294,127.0462384
강남구,벚나무,37.4913963,127.1027383
강남구,벚나무,37.4829152,127.044001
강남구,벚나무,37.519499,127.0532396
강남구,벚나무,37.4840383,127.0471424
강남구,벚나무,37.4835964,127.0443334
강남구,벚나무,37.5195802,127.0537075
강남구,벚나무,37.4845432,127.0466369
강남구,벚나무,37.4743364,127.1030744
강남구,벚나무,37.4833501,127.0441129
강남구,벚나무,37.5196431,127.0540534
강남구,벚나무,37.520458,127.0585635
강남구,벚나무,37.4843644,127.0468932
강남구,벚나무,37.5127427,127.0669695
강남구,벚나무,37.4837264,127.0473579
강남구,벚나무,37.4845145,127.0467868
강남구,벚나무,37.4857939,127.0457144
강남구,벚나무,37.4824204,127.043256
강남구,벚나무,37.491565,127.1024059
강남구,벚나무,37.47399,127.1022611
강남구,벚나무,37.4850093,127.046262
강남구,벚나무,37.5195645,127.053635
