,사용금액,cnt
하우림,136000,3
낙지마을해물구이,136000,1
소문난참숯불꼼장어,135000,2
정희네,135000,2
자연생고기,134000,1
어시장,131000,1
전라상회,130000,1
촌장골,130000,1
유가네닭갈비,127500,2
불광옥,126000,1
혜원약국,125000,1
고기킹,124000,1
명품청기와감자탕,122000,2
풍년집,122000,4
심통난초밥,120000,2
당진강완옥아귀찜,120000,1
미각 아구동태해물찜탕,119000,1
기절초풍왕순대,119000,4
더고기서울대맛집,117800,1
남도식당,117000,1
엉뚱한생고기,117000,1
심가면옥,116500,2
베리베리,116000,6
남도해물요리전문점,115500,3
세컨드페이지,114800,4
종가할머니보쌈,113000,1
소해,113000,2
버드나무,111500,1
남궁야,111000,1
우림식당,110000,1
솜씨,110000,1
병천순대,108000,3
기장산곰장어포차,108000,1
마을부엌어울림,108000,2
미운오리깡통집,107000,1
소담촌,105400,1
에스엠씨,105000,2
한류관,105000,1
짜장마을,104000,2
송가네감자탕,104000,2
청주블루가든,103500,1
중국성,102000,1
배가네동태탕찜,102000,1
(주)소명생고기,100000,1
지리산삼계탕,100000,1
풍년갈비,100000,1
풍성구이,100000,1
김채원24시감자탕,100000,1
브라더,100000,1
양지가정식,100000,1
박승자당진아구동태찜탕,100000,1
배바우,100000,1
백상갈비,100000,1
애슐리서울대입구점,99800,1
정가네왕갈비탕,99000,2
대주직판장,99000,1
목포아구찜,98000,1
두부이야기,97000,3
동해세꼬시,96000,1
란,94000,1
바로수제햄부대찌개,93000,3
광명수산,92000,2
유진참치 서울대점,92000,1
양평서울해장국,90000,2
희전명가,88000,1
행운포차,88000,2
진부령황태촌,87000,2
대가한방오리,87000,1
장수촌풍천장어,86000,1
진갈비,86000,1
신안산낙지철판,85000,1
서울김밥,84500,2
미소옻닭,84000,1
멕시카나,84000,2
양계장집아들,83600,1
분짜하노이,83450,2
카페베네,83300,1
미가정맑은곰탕,83000,1
참이맛감자탕,83000,2
마노아숯불구이,83000,1
우리식당,83000,1
오장면옥,81000,2
딸랏롯빠이,81000,1
용국이네숯불갈비,81000,1
오성손만두,80000,2
광어삼촌,80000,2
무교동갯벌낚지,80000,1
목포홍탁,80000,1
자바인,79000,3
우정회관,79000,1
스타벅스,78800,3
커피빈,78600,4
사케사케,78000,1
윤씨네집,78000,1
블리스,77300,3
Ｇ마켓,76000,1
모비딕커피,76000,3
북촌손만두,76000,2
고봉민김밥,73000,3
이가네바지락칼국수,72000,3
가야촌유황오리,71000,1
다이소,70200,5
황토방,70000,1
종로계림닭도리탕원조,70000,2
낙지촌,70000,1
아띠,69080,2
다락방,68000,1
숙이네생선구이,68000,2
바다잔치,68000,1
명가진곰탕,68000,2
트레블앤쿡,67900,1
서가앤쿡,66400,1
하노이별,66000,3
옛골맛족발,65000,1
포천이동갈비촌,65000,1
본전순대국,65000,2
봉천함흥냉면,65000,1
굴러들어온복,64000,1
장충동영양족발,64000,2
알곡찬&김밥,64000,1
빕스,63400,1
원주추어탕,63000,2
KSNET,60000,1
다빈,60000,1
최상의우동,60000,1
㈜배다리문화원,60000,1
본가숯불갈비,60000,1
황족,60000,1
교동왕족발,60000,1
탐앤탐스,58700,1
태능솔밭갈비,58000,2
숙이네조개전골,58000,1
탐나종합어시장,58000,1
다우데이타,58000,1
연소바,58000,2
소확행,57400,2
복돈이생고기,57000,1
투썸플레이스,56790,4
교촌치킨,56000,2
별미집,56000,2
전주민속촌,56000,1
풍년식당,56000,1
효소원,56000,1
값진식육,55900,1
족팔려,55000,1
훌랄라치킨,54500,1
카페딜,54300,1
두꺼비황소곱창,54000,1
동경산책,54000,1
소문난생오리돌구이,53000,1
흑룡강성,52500,1
모힝,52000,1
장가네멸치쌈밥,52000,1
전주전집,52000,1
소문난순대국,52000,1
부림식당,52000,1
본가짜장,52000,1
낭만모로코,52000,1
마야,51000,1
안성갈비,50000,1
울엄마밥상,50000,1
고향식당,50000,2
우장군곱창,50000,1
산책,50000,1
명성웃음꼬치활짝,49000,1
옛골보리밥쭈꾸미,49000,1
봉천곱창,48800,1
제주올레,48000,1
마늘오리,48000,1
SOME801,48000,1
신선설농탕,48000,2
정가네감자탕＆부대찌,47000,1
소담밥상,47000,1
고기만족,46500,1
깡돈,46000,1
뚱띵이왕갈비,45600,1
(주)송원마포갈비,45500,1
옷살,45200,1
왕세숫대야냉면,45000,2
우리설렁탕,45000,1
옥돌집,45000,1
서지초가뜰주식회사,45000,1
토토김밥,44500,1
유명한회집,44000,1
노가리7080,43800,1
이태리부대찌개,43000,1
신사식당,43000,1
조춘식동갑이네,43000,1
마포숯불갈비,43000,1
죠아찌쥬스,42500,1
더진국,41500,1
가야촌오리주물럭,41000,1
회포차,41000,1
만두와김밥,40500,3
돌체,40000,1
먹쉬돈나 서울대역점,40000,1
청호,40000,1
모리돈부리,40000,1
종손집,40000,1
빅히트물류,39700,1
싱싱회수산시장,39000,1
커피볶는정,39000,1
포몬스,39000,1
던킨도너츠,38200,2
키친라밥,38000,1
만다린,38000,1
상도늘보리,36000,1
회산한우,36000,1
가마솥삼계탕,35000,1
카페산다,34500,2
서울미트볼,34200,1
다온죽카페,34000,1
황태한마당,34000,1
대박수산,34000,1
오븐마루,32900,1
칠분도스시,32800,1
돈가대박집,32500,1
김밥＆백반,32000,1
양은이동태탕동태찜코다리,32000,2
명가쭈꾸미코다리,32000,1
키다리식품,31000,1
너구리칼국수,31000,1
고향순대국,31000,1
홍반장,30500,1
더블미트 봉천점,30000,1
밀향기칼국수,30000,1
보글보글지글지글,30000,1
카레마치,30000,1
신림점비비큐,29500,1
인생극장,29000,1
송백목감자탕,29000,1
연이네닭도리탕,29000,1
가빈,28500,2
원조정가네매운갈비찜,28000,1
미소야,28000,1
치킨더샵,27900,1
#207,27200,2
무지개분식,27000,1
삐에스몽테과자점,26200,1
서울닭튀김,25800,1
커피나무,25600,2
칼국수한마당,25000,1
오뚜기식당,24000,1
일로까페,24000,2
진미별미순대국,24000,1
맛있는밥집,24000,1
나의집,24000,1
통통갈비집,24000,1
행복포차,23000,1
세계로마트,21500,1
병천순대국,21000,1
개성보쌈,21000,1
강남식당,20000,1
바지락손칼국수,20000,1
동원각,20000,1
이마트24 봉천태양점,20000,1
전주집,20000,1
카페１번가,19900,1
압구정화룡짬뽕,19500,1
KFC,19200,1
카페미뇽,19100,1
쥬스를만드는지금,18500,1
맘씨커피,18500,1
삼미칼국수,18000,1
함흥냉면,18000,1
기사님식당,18000,1
SEROTONIN,17400,1
꽃올림,17300,1
우아한형제들,16800,1
영암팥칼국수,16000,1
비알코리아,15440,1
만리성,14000,1
즉석빵집,13600,1
베어문,13000,1
커피더알,12500,2
이모네전칼국수,12000,1
꿀벌식당,12000,1
테라스,11800,1
봉떡,11500,1
오페라빈,11500,1
히포커피,10800,1
손칼국수만두찐빵,10000,1
가츠몽,10000,1
정가네,10000,1
내자리에프씨카페,8500,1
카페덴,8400,1
카페드구띠에,7600,1
406CAFE,6500,1
