사용장소,방문횟수,사용금액,카테고리,주소,lat,lng
얼큰수제비해물칼국수,18,614500,면류,서울 관악구 관악로 113 얼큰수제비해물칼국수,37.4755233,126.9525324
영덕물회막회,5,711000,해물,서울 관악구 관악로16길 35 영덕물회막회,37.4762397,126.9583907
옛날육개장,26,2664000,국밥류,서울 관악구 관악로 154-6 옛날육개장,37.4788077,126.9528332
오리오리,31,2076000,고기,서울 관악구 관악로12길 3-6 오리오리,37.4783647,126.9527904
옥천골,40,6801000,보양식,서울 관악구 청룡7길 41 옥천골,37.479686,126.9483704
완산정,5,235500,한식,서울 관악구 봉천로 484 완산정,37.4816345,126.9535927
외래향,5,416000,중식,서울 관악구 남부순환로 1801 외래향,37.4818013,126.9503522
용궁,4,208500,중식,서울 관악구 양지길 10 용궁,37.4873488,126.9270324
우리가참김치,6,744000,한식,서울 관악구 관악로 148 우리가참김치,37.4784177,126.9525726
우리동네고기집,22,7319900,고기,서울 관악구 인헌6길 24 우리동네고기집,37.4740784,126.9654694
우리참순대,7,326000,국밥류,서울 관악구 관악로 148 우리참순대,37.4784177,126.9525726
우성각,5,790000,중식,서울 관악구 청림2길 2 우성각,37.4878929,126.9582546
우쥬커피,4,137900,카페&디저트,서울 관악구 관악로12길 5 우쥬커피,37.4782112,126.9527541
유천칡냉면,5,338000,면류,서울 관악구 쑥고개로 104 유천칡냉면,37.4787975,126.9481567
은성숯불갈비,19,1867100,고기,서울 관악구 남부순환로 1711 은성숯불갈비,37.4831934,126.9405635
이금옥샤브샤브칼국수,11,1158000,기타,서울 관악구 관악로 132 이금옥샤브샤브칼국수,37.4769682,126.9527058
일구칠구매운탕,5,487000,해물,서울 관악구 신림로26길 5 일구칠구매운탕,37.4730784,126.9339627
일커피,9,170000,카페&디저트,서울 관악구 쑥고개로 123 일커피,37.4789958,126.9502284
자연별곡,9,862400,한식,서울 관악구 관악로 195 자연별곡,37.4823872,126.9530682
작은따옴표,4,930000,주점,서울 관악구 신원로 5-1 작은따옴표,37.4798463,126.9278063
장군집,7,263000,주점,서울 관악구 청룡2길 19 장군집,37.4813397,126.9455246
장수삼계탕,6,180000,보양식,서울특별시 관악구 봉천동 봉천로 486 장수삼계탕,37.48199329778763,126.9536346388275
장터순대국,5,743000,국밥류,서울 관악구 관천로 29 장터순대국,37.48233219999999,126.9276455
쟝블랑제리,13,644550,카페&디저트,서울 관악구 낙성대역길 8 쟝블랑제리,37.4770478,126.961929
전진식당,10,314000,고기,서울 금천구 금하로29길 13 전진식당,37.4506425,126.9124277
정가,11,2617000,한식,서울 관악구 남부순환로 1710 정가,37.48272190000001,126.939923
정담은보쌈,6,993500,고기,서울 관악구 남부순환로 1661 정담은보쌈,37.4851023,126.9353354
정육점식당,6,279000,고기,서울 관악구 관악로14길 27 정육점식당,37.4790377,126.9541027
제주은갈치,93,11714000,해물,서울 관악구 관악로 139 제주은갈치,37.4776285,126.951919
진우리독도참치,6,863000,해물,서울 관악구 봉천로 472 진우리참치,37.48185650000001,126.9522114
청능장,19,1009000,중식,서울 관악구 쑥고개로 112 청능장,37.4789511,126.9488876
초대,4,622000,한식,서울 관악구 남부순환로 2082-37 초대,37.476129,126.9801614
추어탕전문점대령숙수,5,504000,보양식,서울 관악구 봉천로 375 추어탕전문점대령숙수,37.4835566,126.9417831
카모메,10,681400,일식,서울 관악구 관악로 144 카모메,37.4779144,126.9526078
카페모아,14,452900,카페&디저트,서울 관악구 관악로 145 카페모아,37.4830195,126.9411664
커피빈코리아,4,78600,카페&디저트,서울 관악구 관악로 161 커피빈,37.4795693,126.9521709
컴포즈커피,9,147900,카페&디저트,서울 관악구 관악로12길 5 컴포즈커피,37.4782112,126.9527541
코코미,9,798000,일식,서울 관악구 관악로 146 코코미,37.4781971,126.9525941
콩심,22,540000,국밥류,서울 관악구 관악로 144 콩심,37.4779144,126.9526078
쿠우쿠우,7,663300,일식,서울 관악구 남부순환로 1810 쿠우쿠우,37.4912924,126.9238707
통큰대박집,13,2985000,한식,서울 관악구 원신길 11 통큰대박집,37.4698514,126.9332822
투썸서울대입구역,4,56790,카페&디저트,서울 관악구 관악로 157 투썸플레이스,37.4793939,126.9519936
티라노,9,310000,카페&디저트,서울 관악구 남부순환로230길 39 티라노,37.4782967,126.9555862
파리바게뜨,33,1125300,카페&디저트,서울 관악구 관악로 168 파리바게뜨,37.4802116,126.9531133
페리카나,10,1359000,기타,서울 관악구 청룡길 20 페리카나,37.4809075,126.9460094
풍년옥,8,1008000,한식,서울 관악구 관악로15길 9 풍년옥,37.4800171,126.9518634
풍년집,4,122000,고기,서울 관악구 난곡로 232 풍년집,37.4748935,126.9170621
풍천장어,6,760000,보양식,서울 관악구 중앙2길 8 풍천장어,37.4842048,126.9538486
하이보,23,4470000,중식,서울 관악구 관악로 134 하이보,37.4772069,126.9526957
한근한방삼계탕,10,627000,보양식,서울 관악구 봉천로 396 한근한방삼계탕,37.4827611,126.9436994
할매보쌈,5,408000,고기,서울 관악구 신림로 351 할매보쌈,37.4855994,126.9291988
해물나라,17,1892000,해물,서울 관악구 남부순환로 1674 해물나라,37.46968469999999,126.9332266
홍콩반점,7,278500,중식,서울 관악구 관악로 152 홍콩반점,37.478742,126.9525572
황복,6,390000,보양식,서울 관악구 봉천로 356 황복,37.4839026,126.9393629
후포리,4,535000,해물,서울 관악구 봉천로 388 후포리,37.4828727,126.9430771
흥부보쌈,8,1167000,고기,서울 관악구 신림로59길 15-13 흥부보쌈,37.4826553,126.9293655
