,2022-01-01 ~ 2022-01-31,,,,,,,,,
,키워드,지출,노출,클릭 ,CTR,CPC,CPA,구매,매출,ROAS
,홈파티요리," ₩ 3,850 ",  257 ,  4 ,1.56%, ₩ 963 , ₩ - ,  - ,  - ,0.00%
,한우명절선물," ₩ 3,828 ",  20 ,  3 ,15.00%," ₩ 1,276 ", ₩ - ,  - ,  - ,0.00%
,채끝살가격," ₩ 3,806 ",  57 ,  6 ,10.53%, ₩ 634 , ₩ - ,  - ,  - ,0.00%
,손님접대음식," ₩ 3,784 ",  208 ,  4 ,1.92%, ₩ 946 , ₩ - ,  - ,  - ,0.00%
,스테이크안심," ₩ 3,729 ",  28 ,  3 ,10.71%," ₩ 1,243 ", ₩ - ,  - ,  - ,0.00%
,스테이크용한우," ₩ 3,663 ",  19 ,  5 ,26.32%, ₩ 733 , ₩ - ,  - ,  - ,0.00%
,스테이크굽기," ₩ 3,619 ","  3,646 ",  6 ,0.16%, ₩ 603 , ₩ - ,  - ,  - ,0.00%
,설날선물세트추천," ₩ 3,465 ",  31 ,  2 ,6.45%," ₩ 1,733 ", ₩ - ,  - ,  - ,0.00%
,프라임등심," ₩ 3,289 ",  126 ,  4 ,3.17%, ₩ 822 , ₩ - ,  - ,  - ,0.00%
,한우사이트," ₩ 3,245 ",  6 ,  2 ,33.33%," ₩ 1,623 ", ₩ - ,  - ,  - ,0.00%
,직원설선물," ₩ 3,201 ",  92 ,  2 ,2.17%," ₩ 1,601 ", ₩ - ,  - ,  - ,0.00%
,초기이유식소고기," ₩ 3,168 ",  44 ,  5 ,11.36%, ₩ 634 , ₩ - ,  - ,  - ,0.00%
,잔치상," ₩ 3,124 ",  215 ,  4 ,1.86%, ₩ 781 , ₩ - ,  - ,  - ,0.00%
,스테이크키트," ₩ 3,113 ",  33 ,  4 ,12.12%, ₩ 778 , ₩ - ,  - ,  - ,0.00%
,소고기선물셋트," ₩ 3,102 ",  13 ,  2 ,15.38%," ₩ 1,551 "," ₩ 3,102 ",  1 ,  - ,0.00%
,바베큐소고기," ₩ 3,069 ",  25 ,  2 ,8.00%," ₩ 1,535 ", ₩ - ,  - ,  - ,0.00%
,설한우," ₩ 3,058 ",  34 ,  3 ,8.82%," ₩ 1,019 ", ₩ - ,  - ,  - ,0.00%
,집에서스테이크," ₩ 3,036 ",  140 ,  4 ,2.86%, ₩ 759 , ₩ - ,  - ,  - ,0.00%
,직장인선물," ₩ 2,959 ",  85 ,  1 ,1.18%," ₩ 2,959 ", ₩ - ,  - ,  - ,0.00%
,어르신설선물," ₩ 2,827 ",  59 ,  2 ,3.39%," ₩ 1,414 ", ₩ - ,  - ,  - ,0.00%
,설한우세트," ₩ 2,805 ",  99 ,  3 ,3.03%, ₩ 935 ," ₩ 2,805 ",  1 ,  - ,0.00%
,생신음식," ₩ 2,706 ",  259 ,  4 ,1.54%, ₩ 677 , ₩ - ,  - ,  - ,0.00%
,예비시댁설선물," ₩ 2,684 ",  56 ,  3 ,5.36%, ₩ 895 , ₩ - ,  - ,  - ,0.00%
,1등급한우등심," ₩ 2,552 ",  23 ,  2 ,8.70%," ₩ 1,276 ", ₩ - ,  - ,  - ,0.00%
,안심추리," ₩ 2,519 ",  66 ,  3 ,4.55%, ₩ 840 , ₩ - ,  - ,  - ,0.00%
,설날한우선물세트," ₩ 2,486 ",  9 ,  2 ,22.22%," ₩ 1,243 ", ₩ - ,  - ,  - ,0.00%
,손님초대요리," ₩ 2,475 ","  1,480 ",  2 ,0.14%," ₩ 1,238 ", ₩ - ,  - ,  - ,0.00%
,한우유명한곳," ₩ 2,453 ",  54 ,  2 ,3.70%," ₩ 1,227 ", ₩ - ,  - ,  - ,0.00%
,고급소고기," ₩ 2,420 ",  20 ,  3 ,15.00%, ₩ 807 , ₩ - ,  - ,  - ,0.00%
,소고기온라인," ₩ 2,255 ",  39 ,  11 ,28.21%, ₩ 205 ," ₩ 1,128 ",  2 ,  - ,0.00%
,사돈댁명절선물," ₩ 2,244 ",  27 ,  3 ,11.11%, ₩ 748 , ₩ - ,  - ,  - ,0.00%
,1++등심," ₩ 2,233 ",  8 ,  3 ,37.50%, ₩ 744 , ₩ - ,  - ,  - ,0.00%
,집들이메뉴," ₩ 2,189 ",  381 ,  3 ,0.79%, ₩ 730 , ₩ - ,  - ,  - ,0.00%
,부모님생일상차림메뉴," ₩ 2,167 ",  230 ,  5 ,2.17%, ₩ 433 , ₩ - ,  - ,  - ,0.00%
,구정선물셋트," ₩ 2,167 ",  6 ,  1 ,16.67%," ₩ 2,167 ", ₩ - ,  - ,  - ,0.00%
,홈파티세트," ₩ 2,090 ",  43 ,  3 ,6.98%, ₩ 697 , ₩ - ,  - ,  - ,0.00%
,한우안심선물세트," ₩ 2,079 ",  10 ,  2 ,20.00%," ₩ 1,040 ", ₩ - ,  - ,  - ,0.00%
,한우등심세트," ₩ 2,068 ",  7 ,  1 ,14.29%," ₩ 2,068 ", ₩ - ,  - ,  - ,0.00%
,한우차돌," ₩ 2,035 ",  51 ,  3 ,5.88%, ₩ 678 , ₩ - ,  - ,  - ,0.00%
,설날단체선물," ₩ 2,024 ",  14 ,  1 ,7.14%," ₩ 2,024 ", ₩ - ,  - ,  - ,0.00%
,설날한우세트," ₩ 2,013 ",  17 ,  2 ,11.76%," ₩ 1,007 "," ₩ 2,013 ",  1 ,  - ,0.00%
,한우투뿔안심," ₩ 1,969 ",  12 ,  3 ,25.00%, ₩ 656 , ₩ - ,  - ,  - ,0.00%
,1++안심," ₩ 1,936 ",  6 ,  2 ,33.33%, ₩ 968 , ₩ - ,  - ,  - ,0.00%
,한우안심세트," ₩ 1,815 ",  13 ,  2 ,15.38%, ₩ 908 , ₩ - ,  - ,  - ,0.00%
,임직원명절선물," ₩ 1,793 ",  12 ,  1 ,8.33%," ₩ 1,793 ", ₩ - ,  - ,  - ,0.00%
,설명절음식," ₩ 1,727 ",  632 ,  3 ,0.47%, ₩ 576 , ₩ - ,  - ,  - ,0.00%
,이유식고기," ₩ 1,694 ",  8 ,  2 ,25.00%, ₩ 847 ," ₩ 1,694 ",  1 ,  - ,0.00%
,한우이유식," ₩ 1,661 ",  5 ,  2 ,40.00%, ₩ 831 , ₩ - ,  - ,  - ,0.00%
,스테이크구매," ₩ 1,606 ",  10 ,  2 ,20.00%, ₩ 803 , ₩ 146 ,  11 ,  - ,0.00%
,사장님선물," ₩ 1,551 ",  28 ,  1 ,3.57%," ₩ 1,551 ", ₩ - ,  - ,  - ,0.00%
,한우채끝스테이크," ₩ 1,540 ",  43 ,  2 ,4.65%, ₩ 770 , ₩ - ,  - ,  - ,0.00%
,손님초대상차림," ₩ 1,507 ",  114 ,  3 ,2.63%, ₩ 502 , ₩ - ,  - ,  - ,0.00%
,1등급소고기," ₩ 1,452 ",  5 ,  2 ,40.00%, ₩ 726 , ₩ - ,  - ,  - ,0.00%
,가족선물," ₩ 1,441 ",  15 ,  1 ,6.67%," ₩ 1,441 ", ₩ - ,  - ,  - ,0.00%
,채끝등심스테이크," ₩ 1,430 ",  48 ,  2 ,4.17%, ₩ 715 , ₩ - ,  - ,  - ,0.00%
,설선물세트도매," ₩ 1,430 ",  6 ,  1 ,16.67%," ₩ 1,430 ", ₩ - ,  - ,  - ,0.00%
,생신상차림," ₩ 1,419 ",  122 ,  2 ,1.64%, ₩ 710 , ₩ - ,  - ,  - ,0.00%
,남자친구생일상," ₩ 1,364 ",  138 ,  3 ,2.17%, ₩ 455 , ₩ - ,  - ,  - ,0.00%
