,2022-01-01 ~ 2022-01-31,,,,,,
,키워드,사용자,세션,이탈수,이탈율,세션당PV,구매
,한우우둔살가격,1,2,0,0.00%,  2.00 ,0
,한우유명한곳,3,3,0,0.00%,  1.00 ,0
,한우이유식,3,3,0,0.00%,  4.93 ,0
,한우차돌,3,3,3,100.00%,  3.17 ,0
,한우차돌박이,34,35,15,42.86%,  7.17 ,0
,한우채끝,33,34,13,38.24%,  3.27 ,0
,한우채끝등심,10,10,4,40.00%,  1.00 ,0
,한우채끝살,16,17,11,64.71%,  2.44 ,0
,한우채끝스테이크,2,2,0,0.00%,  1.65 ,0
,한우토시살,17,18,9,50.00%,  3.90 ,0
,한우투뿔등심,3,3,1,33.33%,  1.71 ,0
,한우투뿔안심,2,6,2,33.33%,  1.00 ,0
,한우판매,5,5,3,60.00%,  1.67 ,0
,할머니설날선물,1,1,1,100.00%,  1.00 ,0
,홈파티,18,19,11,57.89%,  5.00 ,0
,홈파티고기세트,1,1,1,100.00%,  2.00 ,0
,홈파티세트,4,5,4,80.00%,  2.50 ,0
,홈파티스테이크,1,1,0,0.00%,  1.28 ,0
,홈파티요리,4,4,3,75.00%,  1.54 ,0
,홈파티음식,117,117,99,84.62%,  1.33 ,0
,회사명절선물,3,3,2,66.67%,  5.00 ,0
,회사명절선물세트,3,3,2,66.67%,  1.33 ,0
,회사선물,3,3,2,66.67%,  3.83 ,0
,회사선물세트,3,3,2,66.67%,  1.00 ,0
,회사설선물세트,4,4,3,75.00%,  2.21 ,0
,회사직원선물,1,1,1,100.00%,  5.50 ,0
,횡성한우선물세트,109,112,51,45.54%,  4.00 ,0
