소스/매체,사용자,신규 방문자,세션,이탈률,세션당 페이지수,평균 세션 시간,문의하기 완료(유효성체크완료) (목표 5 전환율),문의하기 완료(유효성체크완료) (목표 5 완료 수),문의하기 완료(유효성체크완료) (목표 5 가치)
mylign.co.kr / referral,2,1,3,33.33%,1.67,12.33,0.00%,0,0.00
searchad.navercorp.com / referral,2,2,2,50.00%,3.00,8.50,0.00%,0,0.00
118.222.50.26 / referral,1,1,1,100.00%,1.00,0.00,0.00%,0,0.00
192.168.72.225 / referral,1,1,1,0.00%,2.00,8.00,0.00%,0,0.00
218.234.32.204:8000 / referral,1,1,1,100.00%,1.00,0.00,0.00%,0,0.00
59.22.238.233 / referral,1,0,1,100.00%,1.00,0.00,0.00%,0,0.00
center-pf.kakao.com / referral,1,1,1,0.00%,3.00,23.00,0.00%,0,0.00
channel.io / referral,1,0,3,33.33%,2.33,5.00,0.00%,0,0.00
datadog.my.salesforce.com / referral,1,1,1,100.00%,1.00,0.00,0.00%,0,0.00
desk.channel.io / referral,1,0,8,37.50%,3.88,534.75,0.00%,0,0.00
ebizsupplier.com / referral,1,1,1,0.00%,3.00,13.00,0.00%,0,0.00
event-us.kr / referral,1,1,1,100.00%,1.00,0.00,0.00%,0,0.00
gadmin.godo.co.kr / referral,1,1,1,100.00%,1.00,0.00,0.00%,0,0.00
gw.superfreeze.kr / referral,1,0,1,0.00%,3.00,59.00,0.00%,0,0.00
kmail.kotra.or.kr / referral,1,1,1,100.00%,1.00,0.00,0.00%,0,0.00
kr3.samsung.net / referral,1,1,2,100.00%,1.00,0.00,0.00%,0,0.00
l.facebook.com / referral,1,1,1,100.00%,1.00,0.00,0.00%,0,0.00
linkedin.com / referral,1,0,1,0.00%,5.00,45.00,0.00%,0,0.00
litalco.com / referral,1,1,1,100.00%,1.00,0.00,0.00%,0,0.00
m.facebook.com / referral,1,1,1,100.00%,1.00,0.00,0.00%,0,0.00
m.jobkorea.co.kr / referral,1,1,1,0.00%,5.00,96.00,0.00%,0,0.00
mail.logisall.com / referral,1,1,1,100.00%,1.00,0.00,0.00%,0,0.00
mail.magikan.co.kr / referral,1,1,1,0.00%,4.00,179.00,0.00%,0,0.00
mail3.nate.com / referral,1,1,1,0.00%,5.00,452.00,0.00%,0,0.00
malanghoney2701.daouoffice.com / referral,1,1,1,100.00%,1.00,0.00,0.00%,0,0.00
mindmeister.com / referral,1,1,1,0.00%,2.00,74.00,0.00%,0,0.00
naver cafe ETC / posting,1,1,1,0.00%,7.00,123.00,0.00%,0,0.00
navercafeDK / etcposting,1,1,1,0.00%,3.00,0.00,0.00%,0,0.00
navercafeETC / posting,1,1,1,100.00%,1.00,0.00,0.00%,0,0.00
navercafeOD / fairposting,1,1,1,0.00%,2.00,0.00,0.00%,0,0.00
rankey.com / referral,1,1,1,100.00%,1.00,0.00,0.00%,0,0.00
search.zum.com / referral,1,1,1,100.00%,1.00,0.00,0.00%,0,0.00
sellerocean.com / referral,1,1,1,0.00%,2.00,26.00,0.00%,0,0.00
sminfo.mss.go.kr / referral,1,0,1,0.00%,7.00,1487.00,0.00%,0,0.00
tagassistant.google.com / referral,1,0,5,40.00%,5.00,93.80,40.00%,2,0.00
webmail.coversomeone.com / referral,1,1,1,100.00%,1.00,0.00,0.00%,0,0.00
webmail.ksg.co.kr / referral,1,1,2,50.00%,2.00,1.00,0.00%,0,0.00
webmail.logibridge.kr / referral,1,0,1,0.00%,2.00,55.00,0.00%,0,0.00
xfile.comn.com / referral,1,1,1,100.00%,1.00,0.00,0.00%,0,0.00
,13765,12925,17489,67.42%,2.09,75.74,1.13%,198,0.00
