"캠페인보고서(2021.10.01.~2021.12.31.),colosseumkr:naver",,,,,,,,,,,,,
캠페인유형,캠페인,광고그룹,소재,키워드,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,전환수,전환율(%),전환당비용(원)
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,구매대행배송대행,16,0,0,0,0,4.1,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,구매배송대행,15,0,0,0,0,2.6,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,국내물류,643,0,0,0,0,5.7,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,국내물류기업,27,0,0,0,0,2.8,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,국내배송대행,39,0,0,0,0,9.3,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,국내배송대행업체,4,0,0,0,0,10.8,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,국제물류,701,0,0,0,0,11.9,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,국제물류센터,10,0,0,0,0,1.7,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,국제물류업체,300,0,0,0,0,14,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,국제물류회사,13,0,0,0,0,14.1,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,국제배송,772,1,0.13,869,869,9.7,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,굿즈배송,65,0,0,0,0,1,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,굿즈포장,361,0,0,0,0,2.1,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,글로벌물류기업,24,0,0,0,0,2.9,0,0,0
