검색어,캠페인,클릭수,비용,CPC,사용자,세션,이탈률,세션당 페이지수,문의하기 완료(유효성체크완료) (목표 5 전환율),문의하기 완료(유효성체크완료) (목표 5 완료 수)
물류 센터 기획 설계,①_창고,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 센터 는 어떤 곳 인가,②_택배,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 센터 대행,①_창고,0,0.00,0.00,1,1,0.00%,5.00,0.00%,0
물류 센터 대회,④_냉장냉동,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 센터 매물,①_창고,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 센터 배송,①_창고,0,0.00,0.00,1,1,0.00%,4.00,0.00%,0
물류 센터 부지,2_주력 상품,1,251.00,251.00,0,0,0.00%,0.00,0.00%,0
물류 센터 부지,④_냉장냉동,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 센터 사업 계획서,③_기타,0,0.00,0.00,1,1,0.00%,3.00,0.00%,0
물류 센터 사업 계획서,3_비주력 상품,1,264.00,264.00,0,0,0.00%,0.00,0.00%,0
물류 센터 상대 영업,①_창고,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 센터 상품 분류,②_택배,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 센터 스타트 업,①_창고,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 센터 시스템 자동화,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 센터 아키텍처,①_풀필먼트,0,0.00,0.00,1,1,0.00%,3.00,0.00%,0
물류 센터 알고리즘,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 센터 알바,3_비주력 상품,2,564.00,282.00,0,0,0.00%,0.00,0.00%,0
물류 센터 의 미래,③_기타,0,0.00,0.00,1,1,0.00%,4.00,0.00%,0
물류 센터 의 정의,①_풀필먼트,0,0.00,0.00,1,1,0.00%,14.00,0.00%,0
물류 센터 전망,①_창고,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 센터 전망,2_주력 상품,1,184.00,184.00,0,0,0.00%,0.00,0.00%,0
물류 센터 전망,3_비주력 상품,1,300.00,300.00,0,0,0.00%,0.00,0.00%,0
물류 센터 전망,④_냉장냉동,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 센터 지게차,3_비주력 상품,1,288.00,288.00,0,0,0.00%,0.00,0.00%,0
물류 센터 창업,④_냉장냉동,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 센터 플랫폼,①_창고,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 센터 피킹,3_비주력 상품,1,228.00,228.00,0,0,0.00%,0.00,0.00%,0
물류 센터 피킹 알바,②_택배,0,0.00,0.00,1,1,0.00%,2.00,0.00%,0
물류 센터 피킹 알바,3_비주력 상품,2,588.00,294.00,0,0,0.00%,0.00,0.00%,0
물류 센터 핫팩,①_풀필먼트,0,0.00,0.00,1,1,0.00%,3.00,0.00%,0
물류 센터 혁신 아이디어,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 센터 혁신 후기,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 솔루션,①_풀필먼트,0,0.00,0.00,2,3,100.00%,1.00,0.00%,0
물류 솔루션,2_주력 상품,3,867.00,289.00,0,0,0.00%,0.00,0.00%,0
물류 솔루션 기술,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 솔루션 기업,①_풀필먼트,0,0.00,0.00,1,1,0.00%,2.00,0.00%,0
물류 솔루션 시장,①_풀필먼트,0,0.00,0.00,2,2,0.00%,9.00,0.00%,0
물류 솔루션 pdf,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 솔류션,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 수요 예측 솔루션,①_풀필먼트,0,0.00,0.00,1,1,0.00%,3.00,0.00%,0
물류 스타트 업,①_풀필먼트,0,0.00,0.00,4,4,75.00%,1.75,0.00%,0
물류 스타트 업,2_주력 상품,5,1298.00,259.60,0,0,0.00%,0.00,0.00%,0
물류 승진 제도,③_기타,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 시스템,①_풀필먼트,0,0.00,0.00,6,6,83.33%,1.33,0.00%,0
물류 시스템,2_주력 상품,6,1596.00,266.00,0,0,0.00%,0.00,0.00%,0
물류 시스템 문제점,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 시스템 사례,①_창고,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 시스템 사례,3_비주력 상품,1,258.00,258.00,0,0,0.00%,0.00,0.00%,0
물류 시스템 종류,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 시스템 종류,2_주력 상품,1,262.00,262.00,0,0,0.00%,0.00,0.00%,0
물류 시스템 종류,③_기타,0,0.00,0.00,1,1,0.00%,3.00,0.00%,0
물류 시스템 종류,3_비주력 상품,1,299.00,299.00,0,0,0.00%,0.00,0.00%,0
물류 시장 현황,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 시장 현황,2_주력 상품,1,279.00,279.00,0,0,0.00%,0.00,0.00%,0
물류 신규,③_기타,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 알바,③_기타,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 알바,3_비주력 상품,1,294.00,294.00,0,0,0.00%,0.00,0.00%,0
물류 알바 이천,①_창고,0,0.00,0.00,1,1,0.00%,2.00,0.00%,0
물류 야 놀자,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 야 놀자,2_주력 상품,1,200.00,200.00,0,0,0.00%,0.00,0.00%,0
물류 야놀 자,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 어 그리 게이션,③_기타,0,0.00,0.00,1,2,50.00%,1.50,0.00%,0
물류 어디서 최초 시작 되었나,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 어플,①_풀필먼트,0,0.00,0.00,2,2,100.00%,1.00,0.00%,0
물류 엑셀,2_주력 상품,1,279.00,279.00,0,0,0.00%,0.00,0.00%,0
물류 외주,③_3PL/4PL,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 운영,③_기타,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 운영,3_비주력 상품,1,278.00,278.00,0,0,0.00%,0.00,0.00%,0
물류 원가 절감,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 의 날,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 의 날,2_주력 상품,1,175.00,175.00,0,0,0.00%,0.00,0.00%,0
물류 의 미래,③_기타,0,0.00,0.00,1,1,0.00%,4.00,0.00%,0
물류 의 미래,3_비주력 상품,1,278.00,278.00,0,0,0.00%,0.00,0.00%,0
물류 이력 추적 관리 시스템,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 이세인,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 이송 자동화 플랫폼,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 이송 체계 pdf,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 자동화,①_풀필먼트,0,0.00,0.00,2,2,50.00%,2.00,0.00%,0
물류 자동화,2_주력 상품,4,1010.00,252.50,0,0,0.00%,0.00,0.00%,0
물류 자동화 란,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 자동화 란,2_주력 상품,2,478.00,239.00,0,0,0.00%,0.00,0.00%,0
물류 자동화 사례,①_풀필먼트,0,0.00,0.00,3,3,100.00%,1.00,0.00%,0
물류 자동화 사례,2_주력 상품,3,731.00,243.67,0,0,0.00%,0.00,0.00%,0
물류 자동화 설계 자료,①_풀필먼트,0,0.00,0.00,1,2,50.00%,2.50,0.00%,0
물류 자동화 설비 업체,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 자동화 설비 업체,2_주력 상품,1,262.00,262.00,0,0,0.00%,0.00,0.00%,0
물류 자동화 시스템,①_풀필먼트,0,0.00,0.00,2,2,100.00%,1.00,0.00%,0
물류 자동화 시스템,2_주력 상품,2,558.00,279.00,0,0,0.00%,0.00,0.00%,0
물류 자동화 식자재 유통,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 자동화 업체 독일 업체,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 자동화 pdf,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 자동화 pdf,2_주력 상품,1,199.00,199.00,0,0,0.00%,0.00,0.00%,0
물류 재고 관리,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 재고 관리,2_주력 상품,1,228.00,228.00,0,0,0.00%,0.00,0.00%,0
물류 적 치대,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 전산 조직,①_풀필먼트,0,0.00,0.00,1,1,0.00%,3.00,0.00%,0
물류 전시,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 전시회 autostore,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 정보,①_창고,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 정보,3_비주력 상품,1,297.00,297.00,0,0,0.00%,0.00,0.00%,0
물류 정보 시스템,①_풀필먼트,0,0.00,0.00,1,3,0.00%,3.00,0.00%,0
물류 정보 시스템,2_주력 상품,1,297.00,297.00,0,0,0.00%,0.00,0.00%,0
물류 정산,①_풀필먼트,0,0.00,0.00,1,2,50.00%,1.50,0.00%,0
물류 정상수,③_기타,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 제안서,①_창고,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 제안서,③_기타,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 제안서,3_비주력 상품,2,702.00,351.00,0,0,0.00%,0.00,0.00%,0
물류 제안서 ppt,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 제안서 ppt,2_주력 상품,1,213.00,213.00,0,0,0.00%,0.00,0.00%,0
물류 차량 관제 스타트 업,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 차별화,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 창고 건축,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 창고 건축,2_주력 상품,1,259.00,259.00,0,0,0.00%,0.00,0.00%,0
물류 창고 냉방 개선,④_냉장냉동,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 창고 송 대표,④_냉장냉동,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 창고 안전 관리,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 창고 안전 관리,2_주력 상품,1,205.00,205.00,0,0,0.00%,0.00,0.00%,0
물류 창고 에 ai,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 창고 임대 현황,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 창고 자동화 시스템,①_풀필먼트,0,0.00,0.00,1,1,0.00%,2.00,0.00%,0
물류 창고 자동화 시스템,2_주력 상품,1,231.00,231.00,0,0,0.00%,0.00,0.00%,0
물류 창고 컨설팅,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 창고 현황,2_주력 상품,1,291.00,291.00,0,0,0.00%,0.00,0.00%,0
물류 창고 현황,④_냉장냉동,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 창고 kpi,①_풀필먼트,0,0.00,0.00,1,1,0.00%,7.00,0.00%,0
물류 체인,③_기타,0,0.00,0.00,1,2,0.00%,3.50,0.00%,0
물류 체인,3_비주력 상품,1,300.00,300.00,0,0,0.00%,0.00,0.00%,0
물류 촬영,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 컨설팅,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 컨설팅,2_주력 상품,1,194.00,194.00,0,0,0.00%,0.00,0.00%,0
물류 콜로세움,①_브랜드 키워드,0,0.00,0.00,3,3,33.33%,4.33,0.00%,0
물류 콜로세움,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 퀄리티,③_기타,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 클라우드 솔루션,①_풀필먼트,0,0.00,0.00,1,1,0.00%,3.00,0.00%,0
물류 트렌드,2_주력 상품,1,263.00,263.00,0,0,0.00%,0.00,0.00%,0
물류 트렌드 2022,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 트렌드 2022,2_주력 상품,1,248.00,248.00,0,0,0.00%,0.00,0.00%,0
물류 파레트,③_기타,0,0.00,0.00,1,2,50.00%,1.50,0.00%,0
물류 풀필 먼트 서비스 업체,③_3PL/4PL,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 풀필 먼트 이커 먼스,③_3PL/4PL,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 프로세스,2_주력 상품,1,254.00,254.00,0,0,0.00%,0.00,0.00%,0
물류 플랫폼,①_풀필먼트,0,0.00,0.00,1,1,0.00%,7.00,0.00%,0
물류 플랫폼,2_주력 상품,1,227.00,227.00,0,0,0.00%,0.00,0.00%,0
물류 플랫폼 기능 설명서,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 플랫폼 사례,①_풀필먼트,0,0.00,0.00,2,2,100.00%,1.00,0.00%,0
물류 피킹 이란,2_주력 상품,1,270.00,270.00,1,1,0.00%,3.00,0.00%,0
물류 핵심 과제,①_풀필먼트,0,0.00,0.00,1,1,0.00%,9.00,0.00%,0
물류 허가 부지,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 혁신,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 혁신,2_주력 상품,1,244.00,244.00,0,0,0.00%,0.00,0.00%,0
물류 혁신 사례,①_창고,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 혁신 사례,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 혁신 사례,2_주력 상품,1,272.00,272.00,0,0,0.00%,0.00,0.00%,0
물류 혁신 사례,3_비주력 상품,1,291.00,291.00,0,0,0.00%,0.00,0.00%,0
물류 현자,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 회사 설립 조건,①_풀필먼트,0,0.00,0.00,1,1,0.00%,2.00,0.00%,0
물류 회사 소개서,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 회사 소개서,2_주력 상품,1,241.00,241.00,0,0,0.00%,0.00,0.00%,0
물류 회사 소개서 ppt,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 회사 소개서 ppt,2_주력 상품,1,280.00,280.00,0,0,0.00%,0.00,0.00%,0
물류 회사 윌급,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 회사 취업,3_비주력 상품,1,283.00,283.00,0,0,0.00%,0.00,0.00%,0
물류 회사 콜로세움,③_3PL/4PL,0,0.00,0.00,1,1,0.00%,2.00,0.00%,0
물류 회사 플필 먼트,③_기타,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 회사 esg,③_기타,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 cl,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 cl 프로그램,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 dt 사례,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 erd,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 it,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 it,2_주력 상품,1,250.00,250.00,0,0,0.00%,0.00,0.00%,0
물류 it 기업,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 it 회사,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 kpi,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 kpi,2_주력 상품,1,258.00,258.00,0,0,0.00%,0.00,0.00%,0
물류 lt 시스템,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 mapping labeller,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 mpk,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 pda,①_풀필먼트,0,0.00,0.00,1,1,0.00%,3.00,0.00%,0
물류 pda,2_주력 상품,1,286.00,286.00,0,0,0.00%,0.00,0.00%,0
물류 pda 피킹,③_기타,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류 rf,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류비 절감,①_풀필먼트,0,0.00,0.00,1,1,0.00%,3.00,0.00%,0
물류비 절감,2_주력 상품,1,263.00,263.00,0,0,0.00%,0.00,0.00%,0
물류비 절감 보고서,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물류업 자기 소개서,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
물티슈 도매,2_주력 상품,1,162.00,162.00,0,0,0.00%,0.00,0.00%,0
물품 배송,②_택배,0,0.00,0.00,1,1,0.00%,6.00,0.00%,0
미국 발송,②_택배,0,0.00,0.00,1,1,0.00%,2.00,0.00%,0
미국 스투시 직구,②_드랍쉬핑,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
미국 실큰 직구 쇼핑,②_드랍쉬핑,0,0.00,0.00,1,2,100.00%,1.00,0.00%,0
미국 아마존,②_드랍쉬핑,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
미국 아마존,2_주력 상품,1,300.00,300.00,0,0,0.00%,0.00,0.00%,0
미래 스토리지,③_기타,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
미래 스토리지,3_비주력 상품,1,288.00,288.00,0,0,0.00%,0.00,0.00%,0
미래 의 지하 물류 시스템,③_기타,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
미르 물류 김정선,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
미중 분쟁,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
미중 분쟁,2_주력 상품,1,259.00,259.00,0,0,0.00%,0.00,0.00%,0
민물 붕어 낚시대 도매 판매장,②_드랍쉬핑,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
밀 키트,2_주력 상품,61,16304.00,267.28,0,0,0.00%,0.00,0.00%,0
밀 키트,④_냉장냉동,0,0.00,0.00,48,52,92.31%,1.08,0.00%,0
밀 키트 가격,2_주력 상품,1,283.00,283.00,0,0,0.00%,0.00,0.00%,0
밀 키트 가격,④_냉장냉동,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
밀 키트 김치,④_냉장냉동,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
밀 키트 납품,④_냉장냉동,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
밀 키트 납품 배송,④_냉장냉동,0,0.00,0.00,1,1,0.00%,3.00,0.00%,0
밀 키트 대량,④_냉장냉동,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
밀 키트 도매,2_주력 상품,8,2298.00,287.25,0,0,0.00%,0.00,0.00%,0
밀 키트 도매,④_냉장냉동,0,0.00,0.00,7,7,100.00%,1.00,0.00%,0
밀 키트 도매 업체,④_냉장냉동,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
밀 키트 도매 위탁,2_주력 상품,1,300.00,300.00,0,0,0.00%,0.00,0.00%,0
밀 키트 도매 위탁,④_냉장냉동,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
밀 키트 도소매,④_냉장냉동,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
밀 키트 뜻,2_주력 상품,25,6924.00,276.96,0,0,0.00%,0.00,0.00%,0
밀 키트 뜻,④_냉장냉동,0,0.00,0.00,21,21,90.48%,1.10,0.00%,0
밀 키트 란,2_주력 상품,1,300.00,300.00,0,0,0.00%,0.00,0.00%,0
밀 키트 란,④_냉장냉동,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
밀 키트 리뷰,2_주력 상품,1,290.00,290.00,0,0,0.00%,0.00,0.00%,0
밀 키트 리뷰,④_냉장냉동,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
밀 키트 메뉴,2_주력 상품,3,831.00,277.00,0,0,0.00%,0.00,0.00%,0
밀 키트 메뉴,④_냉장냉동,0,0.00,0.00,2,2,100.00%,1.00,0.00%,0
밀 키트 물류 대행,④_냉장냉동,0,0.00,0.00,1,1,0.00%,4.00,0.00%,0
밀 키트 미나리,④_냉장냉동,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
밀 키트 배송,2_주력 상품,1,260.00,260.00,0,0,0.00%,0.00,0.00%,0
밀 키트 배송,④_냉장냉동,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
밀 키트 브랜드,2_주력 상품,10,2790.00,279.00,0,0,0.00%,0.00,0.00%,0
밀 키트 브랜드,④_냉장냉동,0,0.00,0.00,10,10,100.00%,1.00,0.00%,0
밀 키트 브랜드 순위,2_주력 상품,3,826.00,275.33,0,0,0.00%,0.00,0.00%,0
밀 키트 브랜드 순위,④_냉장냉동,0,0.00,0.00,2,2,50.00%,1.50,0.00%,0
밀 키트 사업,2_주력 상품,6,1422.00,237.00,0,0,0.00%,0.00,0.00%,0
밀 키트 사업,④_냉장냉동,0,0.00,0.00,5,5,80.00%,1.40,0.00%,0
밀 키트 산업,2_주력 상품,1,267.00,267.00,0,0,0.00%,0.00,0.00%,0
밀 키트 산업,④_냉장냉동,0,0.00,0.00,1,1,0.00%,2.00,0.00%,0
밀 키트 삼촌 칼국수,④_냉장냉동,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
밀 키트 샵,2_주력 상품,1,275.00,275.00,0,0,0.00%,0.00,0.00%,0
밀 키트 샵,④_냉장냉동,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
밀 키트 식품,④_냉장냉동,0,0.00,0.00,2,2,50.00%,2.00,0.00%,0
밀 키트 업체 순위,2_주력 상품,2,543.00,271.50,0,0,0.00%,0.00,0.00%,0
밀 키트 업체 순위,④_냉장냉동,0,0.00,0.00,2,2,100.00%,1.00,0.00%,0
밀 키트 위탁,2_주력 상품,1,299.00,299.00,0,0,0.00%,0.00,0.00%,0
밀 키트 위탁,④_냉장냉동,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
밀 키트 위탁 생산,2_주력 상품,1,259.00,259.00,0,0,0.00%,0.00,0.00%,0
밀 키트 위탁 생산,④_냉장냉동,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
밀 키트 위탁 판매,2_주력 상품,8,2176.00,272.00,0,0,0.00%,0.00,0.00%,0
밀 키트 위탁 판매,④_냉장냉동,0,0.00,0.00,6,8,100.00%,1.00,0.00%,0
밀 키트 유툽,④_냉장냉동,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
밀 키트 전문 업체,④_냉장냉동,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
밀 키트 제조업체,2_주력 상품,4,1116.00,279.00,0,0,0.00%,0.00,0.00%,0
밀 키트 제조업체,④_냉장냉동,0,0.00,0.00,4,4,50.00%,1.50,0.00%,0
밀 키트 제품,2_주력 상품,1,290.00,290.00,0,0,0.00%,0.00,0.00%,0
밀 키트 종류,2_주력 상품,1,298.00,298.00,0,0,0.00%,0.00,0.00%,0
밀 키트 종류,④_냉장냉동,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
밀 키트 창업,2_주력 상품,2,572.00,286.00,0,0,0.00%,0.00,0.00%,0
밀 키트 창업,④_냉장냉동,0,0.00,0.00,1,1,0.00%,2.00,0.00%,0
밀 키트 친환경 포장,2_주력 상품,1,291.00,291.00,0,0,0.00%,0.00,0.00%,0
밀 키트 친환경 포장,④_냉장냉동,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
밀 키트 회사 구매 프로세스,④_냉장냉동,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
밀 키트 b2b,2_주력 상품,3,875.00,291.67,0,0,0.00%,0.00,0.00%,0
밀 키트 b2b,④_냉장냉동,0,0.00,0.00,2,2,50.00%,2.50,0.00%,0
밀 키트 oem,2_주력 상품,1,276.00,276.00,0,0,0.00%,0.00,0.00%,0
밀 키트 oem,④_냉장냉동,0,0.00,0.00,1,1,0.00%,3.00,0.00%,0
밀 키트 ppt,2_주력 상품,1,261.00,261.00,0,0,0.00%,0.00,0.00%,0
밀 키트 ppt,④_냉장냉동,0,0.00,0.00,1,1,0.00%,2.00,0.00%,0
밀레이 월 상품,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
밀크 런,①_풀필먼트,0,0.00,0.00,3,3,66.67%,2.67,0.00%,0
밀크 런,2_주력 상품,3,716.00,238.67,0,0,0.00%,0.00,0.00%,0
밍동 박스,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
바기 메드 직구,②_드랍쉬핑,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
바로 겟,②_드랍쉬핑,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
바로 겟,2_주력 상품,1,250.00,250.00,0,0,0.00%,0.00,0.00%,0
바이어 발굴,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
바이어 발굴,2_주력 상품,1,196.00,196.00,0,0,0.00%,0.00,0.00%,0
바이오 물류,③_기타,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
바이오 물류,3_비주력 상품,1,257.00,257.00,0,0,0.00%,0.00,0.00%,0
바이오 물류 업체,③_기타,0,0.00,0.00,1,1,0.00%,2.00,0.00%,0
바이크 셀,③_기타,0,0.00,0.00,2,2,100.00%,1.00,0.00%,0
바이크 셀,3_비주력 상품,3,672.00,224.00,0,0,0.00%,0.00,0.00%,0
바코드 시스템,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
바코드 시스템,2_주력 상품,1,278.00,278.00,0,0,0.00%,0.00,0.00%,0
바코드 시스템 구성 도,①_풀필먼트,0,0.00,0.00,1,1,0.00%,3.00,0.00%,0
바코드 입출고 관리 프로그램,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
바코드 입출고 관리 프로그램,2_주력 상품,1,267.00,267.00,0,0,0.00%,0.00,0.00%,0
바코드 재고 관리 어플,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
바코드 재고 관리 어플,2_주력 상품,1,260.00,260.00,0,0,0.00%,0.00,0.00%,0
박스,②_택배,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
박스,3_비주력 상품,2,536.00,268.00,0,0,0.00%,0.00,0.00%,0
박스 가격,②_택배,0,0.00,0.00,1,2,100.00%,1.00,0.00%,0
박스 가격,3_비주력 상품,3,1312.00,437.33,0,0,0.00%,0.00,0.00%,0
